class_name,accuracy,error_rate,total,correct,incorrect,mistaken_as
steak,0.16666666666666666,0.8333333333333334,150,25,125,"[('filet_mignon', np.int64(26)), ('prime_rib', np.int64(20)), ('baby_back_ribs', np.int64(10))]"
pork_chop,0.18666666666666668,0.8133333333333334,150,28,122,"[('prime_rib', np.int64(14)), ('steak', np.int64(14)), ('filet_mignon', np.int64(9))]"
grilled_cheese_sandwich,0.3333333333333333,0.6666666666666667,150,50,100,"[('club_sandwich', np.int64(7)), ('fish_and_chips', np.int64(7)), ('hot_dog', np.int64(7))]"
scallops,0.3333333333333333,0.6666666666666667,150,50,100,"[('shrimp_and_grits', np.int64(14)), ('takoyaki', np.int64(6)), ('ceviche', np.int64(5))]"
apple_pie,0.3333333333333333,0.6666666666666667,150,50,100,"[('baklava', np.int64(7)), ('bread_pudding', np.int64(6)), ('carrot_cake', np.int64(6))]"
bread_pudding,0.3466666666666667,0.6533333333333333,150,52,98,"[('apple_pie', np.int64(10)), ('strawberry_shortcake', np.int64(7)), ('french_toast', np.int64(6))]"
foie_gras,0.35333333333333333,0.6466666666666667,150,53,97,"[('tuna_tartare', np.int64(7)), ('prime_rib', np.int64(6)), ('grilled_salmon', np.int64(4))]"
ravioli,0.36,0.64,150,54,96,"[('risotto', np.int64(17)), ('lasagna', np.int64(9)), ('shrimp_and_grits', np.int64(6))]"
gnocchi,0.38666666666666666,0.6133333333333333,150,58,92,"[('risotto', np.int64(15)), ('macaroni_and_cheese', np.int64(9)), ('ceviche', np.int64(4))]"
ice_cream,0.38666666666666666,0.6133333333333333,150,58,92,"[('frozen_yogurt', np.int64(16)), ('chocolate_mousse', np.int64(6)), ('donuts', np.int64(5))]"
breakfast_burrito,0.38666666666666666,0.6133333333333333,150,58,92,"[('huevos_rancheros', np.int64(9)), ('omelette', np.int64(6)), ('chicken_quesadilla', np.int64(5))]"
filet_mignon,0.4,0.6,150,60,90,"[('prime_rib', np.int64(12)), ('foie_gras', np.int64(9)), ('steak', np.int64(9))]"
grilled_salmon,0.4066666666666667,0.5933333333333333,150,61,89,"[('crab_cakes', np.int64(7)), ('omelette', np.int64(6)), ('prime_rib', np.int64(6))]"
tacos,0.4066666666666667,0.5933333333333333,150,61,89,"[('huevos_rancheros', np.int64(12)), ('ceviche', np.int64(10)), ('nachos', np.int64(10))]"
panna_cotta,0.4266666666666667,0.5733333333333333,150,64,86,"[('cheesecake', np.int64(15)), ('strawberry_shortcake', np.int64(13)), ('chocolate_cake', np.int64(8))]"
chocolate_mousse,0.43333333333333335,0.5666666666666667,150,65,85,"[('chocolate_cake', np.int64(17)), ('cup_cakes', np.int64(11)), ('donuts', np.int64(5))]"
french_toast,0.43333333333333335,0.5666666666666667,150,65,85,"[('pancakes', np.int64(8)), ('omelette', np.int64(6)), ('waffles', np.int64(6))]"
ceviche,0.44,0.56,150,66,84,"[('guacamole', np.int64(9)), ('risotto', np.int64(5)), ('deviled_eggs', np.int64(4))]"
bruschetta,0.44666666666666666,0.5533333333333333,150,67,83,"[('caprese_salad', np.int64(6)), ('huevos_rancheros', np.int64(6)), ('omelette', np.int64(6))]"
gyoza,0.4666666666666667,0.5333333333333333,150,70,80,"[('dumplings', np.int64(14)), ('samosa', np.int64(10)), ('spring_rolls', np.int64(5))]"
cheese_plate,0.47333333333333333,0.5266666666666666,150,71,79,"[('cannoli', np.int64(7)), ('omelette', np.int64(5)), ('sashimi', np.int64(4))]"
crab_cakes,0.47333333333333333,0.5266666666666666,150,71,79,"[('falafel', np.int64(10)), ('grilled_salmon', np.int64(4)), ('carrot_cake', np.int64(3))]"
chicken_curry,0.48,0.52,150,72,78,"[('lobster_bisque', np.int64(8)), ('shrimp_and_grits', np.int64(5)), ('hummus', np.int64(4))]"
shrimp_and_grits,0.4866666666666667,0.5133333333333333,150,73,77,"[('risotto', np.int64(10)), ('huevos_rancheros', np.int64(9)), ('chicken_curry', np.int64(7))]"
hummus,0.4866666666666667,0.5133333333333333,150,73,77,"[('chicken_curry', np.int64(5)), ('donuts', np.int64(5)), ('risotto', np.int64(5))]"
beef_tartare,0.4866666666666667,0.5133333333333333,150,73,77,"[('tuna_tartare', np.int64(17)), ('bruschetta', np.int64(5)), ('ceviche', np.int64(4))]"
tuna_tartare,0.4866666666666667,0.5133333333333333,150,73,77,"[('beef_tartare', np.int64(14)), ('hummus', np.int64(4)), ('beet_salad', np.int64(3))]"
hamburger,0.49333333333333335,0.5066666666666666,150,74,76,"[('pulled_pork_sandwich', np.int64(20)), ('hot_dog', np.int64(8)), ('omelette', np.int64(4))]"
samosa,0.49333333333333335,0.5066666666666666,150,74,76,"[('dumplings', np.int64(6)), ('spring_rolls', np.int64(5)), ('fried_calamari', np.int64(4))]"
lasagna,0.5,0.5,150,75,75,"[('omelette', np.int64(12)), ('french_onion_soup', np.int64(11)), ('huevos_rancheros', np.int64(9))]"
beet_salad,0.5,0.5,150,75,75,"[('seaweed_salad', np.int64(10)), ('caprese_salad', np.int64(8)), ('greek_salad', np.int64(6))]"
sushi,0.5,0.5,150,75,75,"[('ceviche', np.int64(6)), ('cup_cakes', np.int64(6)), ('sashimi', np.int64(6))]"
beef_carpaccio,0.5066666666666667,0.4933333333333333,150,76,74,"[('beef_tartare', np.int64(10)), ('tuna_tartare', np.int64(9)), ('caprese_salad', np.int64(5))]"
donuts,0.52,0.48,150,78,72,"[('cup_cakes', np.int64(10)), ('onion_rings', np.int64(7)), ('beignets', np.int64(6))]"
falafel,0.52,0.48,150,78,72,"[('crab_cakes', np.int64(7)), ('hot_dog', np.int64(5)), ('donuts', np.int64(4))]"
chicken_quesadilla,0.5266666666666666,0.4733333333333334,150,79,71,"[('omelette', np.int64(7)), ('tacos', np.int64(6)), ('breakfast_burrito', np.int64(5))]"
cheesecake,0.5266666666666666,0.4733333333333334,150,79,71,"[('strawberry_shortcake', np.int64(11)), ('carrot_cake', np.int64(7)), ('chocolate_cake', np.int64(6))]"
nachos,0.5266666666666666,0.4733333333333334,150,79,71,"[('guacamole', np.int64(10)), ('huevos_rancheros', np.int64(6)), ('chicken_quesadilla', np.int64(5))]"
peking_duck,0.5333333333333333,0.4666666666666667,150,80,70,"[('huevos_rancheros', np.int64(4)), ('prime_rib', np.int64(4)), ('baby_back_ribs', np.int64(3))]"
baby_back_ribs,0.5466666666666666,0.45333333333333337,150,82,68,"[('prime_rib', np.int64(10)), ('donuts', np.int64(6)), ('peking_duck', np.int64(6))]"
garlic_bread,0.5466666666666666,0.45333333333333337,150,82,68,"[('samosa', np.int64(6)), ('omelette', np.int64(5)), ('risotto', np.int64(5))]"
chocolate_cake,0.56,0.43999999999999995,150,84,66,"[('chocolate_mousse', np.int64(12)), ('red_velvet_cake', np.int64(12)), ('cheesecake', np.int64(6))]"
baklava,0.5666666666666667,0.43333333333333335,150,85,65,"[('apple_pie', np.int64(7)), ('carrot_cake', np.int64(5)), ('samosa', np.int64(5))]"
carrot_cake,0.5666666666666667,0.43333333333333335,150,85,65,"[('chocolate_cake', np.int64(8)), ('cup_cakes', np.int64(7)), ('red_velvet_cake', np.int64(6))]"
huevos_rancheros,0.58,0.42000000000000004,150,87,63,"[('omelette', np.int64(6)), ('chicken_curry', np.int64(4)), ('croque_madame', np.int64(4))]"
hot_dog,0.58,0.42000000000000004,150,87,63,"[('hamburger', np.int64(7)), ('ice_cream', np.int64(4)), ('tacos', np.int64(4))]"
caprese_salad,0.5866666666666667,0.41333333333333333,150,88,62,"[('greek_salad', np.int64(8)), ('beet_salad', np.int64(5)), ('bruschetta', np.int64(5))]"
spring_rolls,0.5866666666666667,0.41333333333333333,150,88,62,"[('samosa', np.int64(9)), ('dumplings', np.int64(6)), ('baklava', np.int64(4))]"
pizza,0.5866666666666667,0.41333333333333333,150,88,62,"[('lasagna', np.int64(13)), ('omelette', np.int64(7)), ('huevos_rancheros', np.int64(5))]"
macaroni_and_cheese,0.6,0.4,150,90,60,"[('french_onion_soup', np.int64(10)), ('risotto', np.int64(7)), ('creme_brulee', np.int64(3))]"
greek_salad,0.6,0.4,150,90,60,"[('ceviche', np.int64(9)), ('guacamole', np.int64(8)), ('beet_salad', np.int64(4))]"
pad_thai,0.6,0.4,150,90,60,"[('fried_calamari', np.int64(8)), ('fried_rice', np.int64(8)), ('risotto', np.int64(5))]"
chicken_wings,0.6066666666666667,0.3933333333333333,150,91,59,"[('fish_and_chips', np.int64(10)), ('samosa', np.int64(5)), ('baby_back_ribs', np.int64(4))]"
tiramisu,0.6066666666666667,0.3933333333333333,150,91,59,"[('chocolate_mousse', np.int64(15)), ('cheesecake', np.int64(7)), ('carrot_cake', np.int64(6))]"
fried_calamari,0.6066666666666667,0.3933333333333333,150,91,59,"[('onion_rings', np.int64(13)), ('fish_and_chips', np.int64(6)), ('carrot_cake', np.int64(3))]"
risotto,0.62,0.38,150,93,57,"[('fried_rice', np.int64(12)), ('macaroni_and_cheese', np.int64(6)), ('ravioli', np.int64(4))]"
pulled_pork_sandwich,0.62,0.38,150,93,57,"[('hamburger', np.int64(9)), ('falafel', np.int64(5)), ('breakfast_burrito', np.int64(3))]"
paella,0.62,0.38,150,93,57,"[('fried_rice', np.int64(6)), ('huevos_rancheros', np.int64(3)), ('mussels', np.int64(3))]"
pancakes,0.6266666666666667,0.3733333333333333,150,94,56,"[('cheesecake', np.int64(4)), ('strawberry_shortcake', np.int64(4)), ('waffles', np.int64(4))]"
waffles,0.6266666666666667,0.3733333333333333,150,94,56,"[('french_toast', np.int64(6)), ('apple_pie', np.int64(5)), ('cannoli', np.int64(4))]"
omelette,0.6266666666666667,0.3733333333333333,150,94,56,"[('huevos_rancheros', np.int64(7)), ('risotto', np.int64(6)), ('breakfast_burrito', np.int64(3))]"
cannoli,0.6266666666666667,0.3733333333333333,150,94,56,"[('chocolate_cake', np.int64(7)), ('donuts', np.int64(4)), ('pancakes', np.int64(4))]"
caesar_salad,0.6266666666666667,0.3733333333333333,150,94,56,"[('greek_salad', np.int64(9)), ('ceviche', np.int64(7)), ('guacamole', np.int64(7))]"
clam_chowder,0.6466666666666666,0.3533333333333334,150,97,53,"[('french_onion_soup', np.int64(5)), ('hummus', np.int64(5)), ('lobster_bisque', np.int64(4))]"
fried_rice,0.6466666666666666,0.3533333333333334,150,97,53,"[('risotto', np.int64(7)), ('macaroni_and_cheese', np.int64(6)), ('bibimbap', np.int64(4))]"
strawberry_shortcake,0.6533333333333333,0.3466666666666667,150,98,52,"[('cheesecake', np.int64(7)), ('cup_cakes', np.int64(4)), ('frozen_yogurt', np.int64(4))]"
takoyaki,0.66,0.33999999999999997,150,99,51,"[('carrot_cake', np.int64(5)), ('donuts', np.int64(4)), ('falafel', np.int64(4))]"
croque_madame,0.6666666666666666,0.33333333333333337,150,100,50,"[('huevos_rancheros', np.int64(6)), ('eggs_benedict', np.int64(5)), ('club_sandwich', np.int64(4))]"
churros,0.6666666666666666,0.33333333333333337,150,100,50,"[('cheesecake', np.int64(4)), ('french_toast', np.int64(4)), ('donuts', np.int64(3))]"
ramen,0.6733333333333333,0.32666666666666666,150,101,49,"[('miso_soup', np.int64(7)), ('hot_and_sour_soup', np.int64(5)), ('pho', np.int64(5))]"
eggs_benedict,0.6733333333333333,0.32666666666666666,150,101,49,"[('omelette', np.int64(16)), ('croque_madame', np.int64(3)), ('hamburger', np.int64(3))]"
lobster_bisque,0.6733333333333333,0.32666666666666666,150,101,49,"[('clam_chowder', np.int64(13)), ('french_onion_soup', np.int64(5)), ('chicken_curry', np.int64(3))]"
club_sandwich,0.68,0.31999999999999995,150,102,48,"[('hamburger', np.int64(6)), ('pulled_pork_sandwich', np.int64(5)), ('ceviche', np.int64(3))]"
spaghetti_carbonara,0.68,0.31999999999999995,150,102,48,"[('spaghetti_bolognese', np.int64(14)), ('risotto', np.int64(12)), ('macaroni_and_cheese', np.int64(3))]"
escargots,0.68,0.31999999999999995,150,102,48,"[('french_onion_soup', np.int64(3)), ('ravioli', np.int64(3)), ('beet_salad', np.int64(2))]"
cup_cakes,0.6866666666666666,0.31333333333333335,150,103,47,"[('donuts', np.int64(7)), ('chocolate_cake', np.int64(6)), ('ice_cream', np.int64(4))]"
lobster_roll_sandwich,0.6866666666666666,0.31333333333333335,150,103,47,"[('fish_and_chips', np.int64(4)), ('bruschetta', np.int64(3)), ('ceviche', np.int64(2))]"
spaghetti_bolognese,0.6933333333333334,0.30666666666666664,150,104,46,"[('pad_thai', np.int64(7)), ('risotto', np.int64(4)), ('spaghetti_carbonara', np.int64(4))]"
sashimi,0.6933333333333334,0.30666666666666664,150,104,46,"[('sushi', np.int64(6)), ('ceviche', np.int64(5)), ('beet_salad', np.int64(3))]"
poutine,0.7066666666666667,0.29333333333333333,150,106,44,"[('french_fries', np.int64(11)), ('baby_back_ribs', np.int64(2)), ('carrot_cake', np.int64(2))]"
fish_and_chips,0.7133333333333334,0.2866666666666666,150,107,43,"[('french_fries', np.int64(7)), ('onion_rings', np.int64(4)), ('grilled_cheese_sandwich', np.int64(3))]"
macarons,0.72,0.28,150,108,42,"[('cup_cakes', np.int64(7)), ('donuts', np.int64(7)), ('ice_cream', np.int64(3))]"
beignets,0.7333333333333333,0.2666666666666667,150,110,40,"[('donuts', np.int64(9)), ('cannoli', np.int64(6)), ('bread_pudding', np.int64(3))]"
french_fries,0.7333333333333333,0.2666666666666667,150,110,40,"[('poutine', np.int64(5)), ('onion_rings', np.int64(4)), ('carrot_cake', np.int64(3))]"
french_onion_soup,0.74,0.26,150,111,39,"[('hot_and_sour_soup', np.int64(3)), ('lobster_bisque', np.int64(3)), ('creme_brulee', np.int64(2))]"
mussels,0.7533333333333333,0.2466666666666667,150,113,37,"[('oysters', np.int64(4)), ('paella', np.int64(4)), ('chocolate_cake', np.int64(3))]"
deviled_eggs,0.76,0.24,150,114,36,"[('sushi', np.int64(4)), ('hummus', np.int64(3)), ('onion_rings', np.int64(3))]"
creme_brulee,0.7666666666666667,0.23333333333333328,150,115,35,"[('french_onion_soup', np.int64(6)), ('waffles', np.int64(3)), ('dumplings', np.int64(2))]"
dumplings,0.7666666666666667,0.23333333333333328,150,115,35,"[('gyoza', np.int64(6)), ('caprese_salad', np.int64(2)), ('donuts', np.int64(2))]"
prime_rib,0.78,0.21999999999999997,150,117,33,"[('grilled_salmon', np.int64(5)), ('filet_mignon', np.int64(4)), ('baby_back_ribs', np.int64(3))]"
bibimbap,0.78,0.21999999999999997,150,117,33,"[('ramen', np.int64(9)), ('seaweed_salad', np.int64(4)), ('fried_rice', np.int64(3))]"
red_velvet_cake,0.7866666666666666,0.21333333333333337,150,118,32,"[('cup_cakes', np.int64(7)), ('strawberry_shortcake', np.int64(5)), ('cheesecake', np.int64(4))]"
frozen_yogurt,0.7866666666666666,0.21333333333333337,150,118,32,"[('ice_cream', np.int64(8)), ('dumplings', np.int64(3)), ('cheesecake', np.int64(2))]"
guacamole,0.8,0.19999999999999996,150,120,30,"[('ceviche', np.int64(2)), ('cup_cakes', np.int64(2)), ('escargots', np.int64(2))]"
onion_rings,0.8133333333333334,0.18666666666666665,150,122,28,"[('churros', np.int64(6)), ('french_fries', np.int64(4)), ('fried_calamari', np.int64(4))]"
oysters,0.82,0.18000000000000005,150,123,27,"[('escargots', np.int64(4)), ('bibimbap', np.int64(2)), ('mussels', np.int64(2))]"
miso_soup,0.8666666666666667,0.1333333333333333,150,130,20,"[('chocolate_mousse', np.int64(3)), ('pho', np.int64(3)), ('ramen', np.int64(3))]"
hot_and_sour_soup,0.8733333333333333,0.1266666666666667,150,131,19,"[('chicken_curry', np.int64(3)), ('miso_soup', np.int64(3)), ('pho', np.int64(2))]"
pho,0.8866666666666667,0.11333333333333329,150,133,17,"[('ramen', np.int64(5)), ('bibimbap', np.int64(2)), ('hot_and_sour_soup', np.int64(2))]"
seaweed_salad,0.9066666666666666,0.09333333333333338,150,136,14,"[('bibimbap', np.int64(2)), ('guacamole', np.int64(2)), ('ramen', np.int64(2))]"
edamame,0.9666666666666667,0.033333333333333326,150,145,5,"[('macarons', np.int64(2)), ('bibimbap', np.int64(1)), ('churros', np.int64(1))]"
